ID,Item Name,GL Code,Catalog,Category,Menus,Stock,Cost,Price
244011,Trefin coho salmon,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,6,9
244012,Trefin coho salmon,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,12.18,17.4
244013,Trefin coho salmon,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,6.72,9.6
244014,Trefin coho salmon,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,12.04,17.2
244015,Trefin coho salmon,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,5.6,8
244016,Trefin coho salmon,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,10.78,15.4
244017,Gelato Festival Coffee Cookie Crumb,Sale of Goods,Food & Beverage,Food: Snacks,,5,5,9.99
244018,Gelato Festival Cookie Butter,Sale of Goods,Food & Beverage,Food: Snacks,,6,5,9.99
244019,Gelato Festival Honey Pecan,Food & Beverage,Food & Beverage,Food: Snacks,,3,5,9.99
244271,Maui Lemonade,Food & Beverage,Food & Beverage,Beverage: Beer,,12,1.28,2.99
244272,Maui Hibiscus Lime,Sale of Goods,Food & Beverage,Beverage: Beer,,14,1.28,2.99
244345,Daoher Alovated Tropical Fantasy,Food & Beverage,Food & Beverage,Beverage: Coffee & Tea,,9,1.42,2.99
244346,Daoher Shaken Tea Passionfruit Gree,Food & Beverage,Food & Beverage,Beverage: Coffee & Tea,,14,1.42,2.99
244349,Boba Milk Tea Matcha,Sale of Goods,Food & Beverage,Beverage: Coffee & Tea,,21,1.63,3.99
244350,Creme Brulee Boba,Food & Beverage,Food & Beverage,Beverage: Coffee & Tea,,22,1.79,3.99
244351,Daoher Alovated Pink Thunder,Food & Beverage,Food & Beverage,Beverage: Coffee & Tea,,0,1.42,2.99
244352,Daoher Shaken Tea Lychee Oolong Tea,Food & Beverage,Food & Beverage,Beverage: Coffee & Tea,,12,1.42,2.99
244739,Momofuku sweet & spicy,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,10,9.57,15.99
244740,Amaz pineapple passion,Food & Beverage,Food & Beverage,Beverage: Coffee & Tea,,0,2.49,4.99
244741,Amaz Orange Blizzard,Food & Beverage,Food & Beverage,Beverage: Coffee & Tea,,4,2.49,4.99
244742,New creations soda krumkake,Food & Beverage,Food & Beverage,Beverage: Other Drinks,,15,1.93,3.99
244743,New creations soda hopscotch,Food & Beverage,Food & Beverage,Beverage: Other Drinks,,27,1.93,3.99
244818,Amaz Acai Blueberry,Sale of Goods,Food & Beverage,Beverage: Coffee & Tea,,13,2.49,4.99
245038,Chobani Strawberry,Food & Beverage,Food & Beverage,Food: Snacks,,5,1.69,2.99
245039,Chobani Peach,Food & Beverage,Food & Beverage,Food: Snacks,,5,1.66,2.99
245199,La Chips Millesime Truffle,Food & Beverage,Food & Beverage,Food: Snacks,,0,4.02,6.99
245521,CB Nuts 14oz kettle roasted peanuts,Sale of Goods,Food & Beverage,Food: Snacks,,7,5,9.99
